262, Masuaku              , West Ham       
263, Bong                 , Brighton       
264, Vokes                , Burnley        
265, Arter                , Cardiff        
266, Batshuayi            , Crystal Palace 
267, Ogbonna              , West Ham       
268, Cavaleiro            , Wolves         
269, Dendoncker           , Wolves         
270, Guendouzi            , Arsenal        
271, Vietto               , Fulham         
272, Sánchez              , Man Utd        
273, Fernández            , Newcastle      
274, Stephens             , Southampton    
275, Gunn                 , Southampton    
276, Saïss                , Wolves         
277, Boruc                , Bournemouth    
278, Saltor Grau          , Brighton       
279, Morata               , Chelsea        
280, Ayew                 , Crystal Palace 
281, da Silva             , Man City       
282, Austin               , Southampton    
283, Montoya              , Brighton       
284, Ralls                , Cardiff        
285, Grant                , Huddersfield   
286, Daniels              , Bournemouth    
287, Odoi                 , Fulham         
288, Zinchenko            , Man City       
289, Yoshida              , Southampton    
290, Traoré               , Wolves         
291, Bissouma             , Brighton       
292, Peltier              , Cardiff        
293, Barnes               , Leicester      
294, Jones                , Man Utd        
295, Obiang               , West Ham       
296, Christie             , Fulham         
297, Clark                , Newcastle      
298, Success Ajayi        , Watford        
299, Lennon               , Burnley        
300, Llorente             , Spurs          
301, Francis              , Bournemouth    
302, Rodrigues de Paula S , Man Utd        
303, Fernandes da Silva J , Brighton       
304, Bacuna               , Huddersfield   
305, Shelvey              , Newcastle      
306, Andone               , Brighton       
307, Le Marchand          , Fulham         
308, Mbenza               , Huddersfield   
309, McTominay            , Man Utd        
310, Ki                   , Newcastle      
311, Fredericks           , West Ham       
312, Zambo Anguissa       , Fulham         
313, Sema                 , Watford        
314, Gibbs-White          , Wolves         
315, Surman               , Bournemouth    
316, Kayal                , Brighton       
317, Mina                 , Everton        
318, Targett              , Southampton    
319, Kabasele             , Watford        
320, Lejeune              , Newcastle      
321, Foyth                , Spurs          
322, Maitland-Niles       , Arsenal        
323, Clyne                , Bournemouth    
324, Lowton               , Burnley        
325, Lookman              , Everton        
326, Depoitre             , Huddersfield   
327, Sturridge            , Liverpool      
328, Cresswell            , West Ham       
329, Ibe                  , Bournemouth    
330, Jahanbakhsh          , Brighton       
331, Bardsley             , Burnley        
332, Zohore               , Cardiff        
333, Benteke              , Crystal Palace 
334, Pérez                , West Ham       
335, Origi                , Liverpool      
336, Izquierdo Mena       , Brighton       
337, Lanzini              , West Ham       
338, Niasse               , Cardiff        
339, Mato Sanmartín       , Newcastle      
340, Kachunga             , Huddersfield   
341, Delph                , Man City       
342, Hoedt                , Southampton    
343, Mousset              , Bournemouth    
344, Schneiderlin         , Everton        
345, Kamara               , Fulham         
346, Ghezzal              , Leicester      
347, Almirón              , Newcastle      
348, Elyounoussi          , Southampton    
349, Walker-Peters        , Spurs          
350, Mepham               , Bournemouth    
351, Dalot Teixeira       , Man Utd        
352, Pereira              , Man Utd        
353, Yarmolenko           , West Ham       
354, Kelly                , Crystal Palace 
355, Davies               , Everton        
356, Fellaini             , Man Utd        
357, Longstaff            , Newcastle      
358, Masina               , Watford        
359, Okazaki              , Leicester      
360, Foden                , Man City       
361, Cleverley            , Watford        
362, Diangana             , West Ham       
363, Cech                 , Arsenal        
364, Holding              , Arsenal        
365, Harris               , Cardiff        
366, Ayité                , Fulham         
367, Stankovic            , Huddersfield   
368, Muto                 , Newcastle      
369, Aurier               , Spurs          
370, Wanyama              , Spurs          
371, Silva Nascimento Vin , Wolves         
372, Dann                 , Crystal Palace 
373, Lallana              , Liverpool      
374, Gabbiadini           , Southampton    
375, Cook                 , Bournemouth    
376, Ward                 , Cardiff        
377, Christensen          , Chelsea        
378, Palmieri dos Santos  , Chelsea        
379, Jagielka             , Everton        
380, Vydra                , Burnley        
381, Brady                , Burnley        
382, Choudhury            , Leicester      
383, Welbeck              , Arsenal        
384, Kenny                , Everton        
385, Mawson               , Fulham         
386, Diakhaby             , Huddersfield   
387, Hudson-Odoi          , Chelsea        
388, Bacuna               , Cardiff        
389, McDonald             , Fulham         
390, Valencia             , Man Utd        
391, Quina                , Watford        
392, Wilshere             , West Ham       
393, Long                 , Burnley        
394, Bailly               , Man Utd        
395, Murphy               , Newcastle      
396, Solanke              , Bournemouth    
397, Balogun              , Brighton       
398, Button               , Brighton       
399, Bettinelli           , Fulham         
400, Puncheon             , Huddersfield   
401, Amartey              , Leicester      
402, Lichtsteiner         , Arsenal        
403, Fosu-Mensah          , Fulham         
404, Darmian              , Man Utd        
405, Dembélé              , Spurs          
406, Nasri                , West Ham       
407, Caballero            , Chelsea        
408, Ward                 , Crystal Palace 
409, Obafemi              , Southampton    
410, Gazzaniga            , Spurs          
411, Sørloth              , Crystal Palace 
412, Simpson              , Leicester      
413, Skipp                , Spurs          
414, Carroll              , West Ham       
415, Johansen             , Fulham         
416, Sims                 , Southampton    
417, Elneny               , Arsenal        
418, Nketiah              , Arsenal        
419, Simpson              , Bournemouth    
420, Defour               , Burnley        
421, van La Parra         , Huddersfield   
422, Chalobah             , Watford        
423, Bonatini             , Wolves         
424, Travers              , Bournemouth    
425, Cunninghamm          , Cardiff        
426, Zappacosta           , Chelsea        
427, Wickham              , Crystal Palace 
428, Hamer                , Huddersfield   
429, Smith                , Huddersfield   
430, Iborra               , Leicester      
431, Söyüncü              , Leicester      
432, Davis                , Southampton    
433, Sánchez              , West Ham       
434, Rico                 , Bournemouth    
435, Crouch               , Burnley        
436, Agosto Ramírez       , Fulham         
437, Nordtveit            , Fulham         
438, Ward                 , Burnley        
439, Baines               , Everton        
440, Kebano               , Fulham         
441, Ruddy                , Wolves         
442, Gibson               , Burnley        
443, Fàbregas             , Chelsea        
444, Williams             , Huddersfield   
445, Mings                , Bournemouth    
446, Madine               , Cardiff        
447, Holgate              , Everton        
448, Vorm                 , Spurs          
449, Willock              , Arsenal        
450, Jenkinson            , Arsenal        
451, Suárez               , Arsenal        
452, Defoe                , Bournemouth    
453, Sako                 , Crystal Palace 
454, Cissé                , Fulham         
455, Sobhi                , Huddersfield   
456, Moreno               , Liverpool      
457, Greenwood            , Man Utd        
458, Slattery             , Southampton    
459, Gallagher            , Southampton    
460, Nkoudou              , Spurs          
461, Mavropanos           , Arsenal        
462, Healey               , Cardiff        
463, Fuchs                , Leicester      
464, Perruchet Silva      , Leicester      
465, Janssen              , Spurs          
466, Britos               , Watford        
467, Surridge             , Bournemouth    
468, Richards             , Cardiff        
469, Damour               , Cardiff        
470, Cahill               , Chelsea        
471, Moses                , Chelsea        
472, Elliott              , Fulham         
473, Sabiri               , Huddersfield   
474, Quaner               , Huddersfield   
475, Coleman              , Huddersfield   
476, Daly                 , Huddersfield   
477, Rowe                 , Huddersfield   
478, Oxlade-Chamberlain   , Liverpool      
479, Rojo                 , Man Utd        
480, Gomes                , Man Utd        
481, Chong                , Man Utd        
482, Forster              , Southampton    
483, Navarro              , Watford        
484, Johnson              , West Ham       
485, Saka                 , Arsenal        
486, Hyndman              , Bournemouth    
487, Speroni              , Crystal Palace 
488, Souaré               , Crystal Palace 
489, Dreher               , Crystal Palace 
490, McCarthy             , Everton        
491, Markovic             , Fulham         
492, Duhaney              , Huddersfield   
493, Diabaté              , Leicester      
494, Camacho              , Liverpool      
495, Garner               , Man Utd        
496, Barreca              , Newcastle      
497, Johnson              , Southampton    
498, Ramsay               , Southampton    
499, Amos                 , Spurs          
500, Prödl                , Watford        
501, Okaka                , Watford        
502, Wilmot               , Watford        
503, Costa Silva          , West Ham       
504, Norris               , Wolves         
505, Kilman               , Wolves         
506, Nelson               , Arsenal        
507, Martínez             , Arsenal        
508, Smith-Rowe           , Arsenal        
509, Medley               , Arsenal        
510, Pugh                 , Bournemouth    
511, Taylor               , Bournemouth    
512, Ofoborh              , Bournemouth    
513, Butcher              , Bournemouth    
514, Suttner              , Brighton       
515, Schelotto            , Brighton       
516, Hemed                , Brighton       
517, Baldock              , Brighton       
518, Steele               , Brighton       
519, Gyokeres             , Brighton       
520, White                , Brighton       
521, Sanders              , Brighton       
522, Burn                 , Brighton       
523, Molumby              , Brighton       
524, Pope                 , Burnley        
525, Walters              , Burnley        
526, Wells                , Burnley        
527, Lindegaard           , Burnley        
528, Koiki                , Burnley        
529, Benson               , Burnley        
530, Driscoll-Glennon     , Burnley        
531, Smithies             , Cardiff        
532, Connolly             , Cardiff        
533, Halford              , Cardiff        
534, Pilkington           , Cardiff        
535, Bogle                , Cardiff        
536, Murphy               , Cardiff        
537, Courtois             , Chelsea        
538, Drinkwater           , Chelsea        
539, Bakayoko             , Chelsea        
540, Ampadu               , Chelsea        
541, Abraham              , Chelsea        
542, Guehi                , Chelsea        
543, Riedewald            , Crystal Palace 
544, Jach                 , Crystal Palace 
545, Kaikai               , Crystal Palace 
546, Tupper               , Crystal Palace 
547, Perri                , Crystal Palace 
548, Woods                , Crystal Palace 
549, Tavares              , Crystal Palace 
550, Stekelenburg         , Everton        
551, Williams             , Everton        
552, Martina              , Everton        
553, Bolasie              , Everton        
554, Klaassen             , Everton        
555, Vlasic               , Everton        
556, Baningime            , Everton        
557, Mirallas             , Everton        
558, Ramírez              , Everton        
559, Dowell               , Everton        
560, Browning             , Everton        
561, da Rocha Fonte       , Fulham         
562, Sessegnon            , Fulham         
563, De La Torre          , Fulham         
564, Malone               , Huddersfield   
565, Ince                 , Huddersfield   
566, Schofield            , Huddersfield   
567, Jakupovic            , Leicester      
568, Benalouane           , Leicester      
569, James                , Leicester      
570, Ward                 , Leicester      
571, Benkovic             , Leicester      
572, Knight               , Leicester      
573, Mignolet             , Liverpool      
574, Karius               , Liverpool      
575, Klavan               , Liverpool      
576, Jones                , Liverpool      
577, Bravo                , Man City       
578, Diaz                 , Man City       
579, Muric                , Man City       
580, Sandler              , Man City       
581, Romero               , Man Utd        
582, Blind                , Man Utd        
583, Grant                , Man Utd        
584, Elliot               , Newcastle      
585, Darlow               , Newcastle      
586, Mbemba               , Newcastle      
587, Merino               , Newcastle      
588, Gayle                , Newcastle      
589, Sterry               , Newcastle      
590, Woodman              , Newcastle      
591, Roberts              , Newcastle      
592, Watts                , Newcastle      
593, Cass                 , Newcastle      
594, McQueen              , Southampton    
595, Boufal               , Southampton    
596, Carrillo             , Southampton    
597, Jones                , Southampton    
598, Whiteman             , Spurs          
